Epoch,Total_Loss,Struct_Loss,Feat_Loss,AUC
0,5.13440,3.21277,5.61481,0.8459
5,4.80447,1.91280,5.52739,N/A
10,4.78936,1.91398,5.50820,0.8609
15,4.78337,1.91359,5.50082,N/A
20,4.77882,1.91310,5.49525,0.8636
25,4.77329,1.91269,5.48843,N/A
30,4.76578,1.91193,5.47925,0.8670
35,4.75918,1.91159,5.47108,N/A
40,4.75089,1.91155,5.46073,0.8706
45,4.74279,1.91089,5.45076,N/A
50,4.73460,1.91007,5.44073,0.8693
55,4.72603,1.91018,5.43000,N/A
60,4.71982,1.90882,5.42257,0.8454
65,4.71158,1.90903,5.41222,N/A
70,4.70725,1.90751,5.40718,0.8463
75,4.70377,1.90686,5.40300,N/A
80,4.69811,1.90717,5.39584,0.8439
85,4.69572,1.90643,5.39305,N/A
90,4.69128,1.90584,5.38763,0.8453
95,4.68590,1.90504,5.38112,N/A
100,4.68392,1.90439,5.37881,0.8473
