Epoch,Total_Loss,Struct_Loss,Feat_Loss,AUC
0,4.39202,4.82571,4.28360,0.6917
5,4.42492,5.09437,4.25755,N/A
10,4.00529,3.16725,4.21480,0.8451
15,3.88832,2.77644,4.16628,N/A
20,3.81517,2.53266,4.13579,0.8755
25,3.77948,2.43701,4.11510,N/A
30,3.74590,2.34581,4.09592,0.8817
35,3.72211,2.29272,4.07946,N/A
40,3.70712,2.26178,4.06845,0.8847
45,3.69446,2.23560,4.05917,N/A
50,3.68680,2.22763,4.05160,0.8878
55,3.67755,2.21745,4.04257,N/A
60,3.66947,2.20796,4.03485,0.8910
65,3.66296,2.20290,4.02798,N/A
70,3.65654,2.20102,4.02042,0.8935
75,3.64977,2.19763,4.01280,N/A
80,3.64532,2.19481,4.00795,0.8951
85,3.64062,2.19406,4.00226,N/A
90,3.63454,2.18899,3.99593,0.8959
95,3.63127,2.18862,3.99193,N/A
100,3.62657,2.18738,3.98637,0.8964
