Epoch,Total_Loss,Struct_Loss,Feat_Loss,AUC
0,4.10395,3.67723,4.21062,0.8701
5,3.75079,2.19241,4.14039,N/A
10,3.73077,2.18925,4.11615,0.8749
15,3.72109,2.18843,4.10425,N/A
20,3.71416,2.18766,4.09578,0.8775
25,3.70640,2.18672,4.08632,N/A
30,3.69865,2.18571,4.07688,0.8815
35,3.68983,2.18457,4.06614,N/A
40,3.67878,2.18334,4.05264,0.8848
45,3.67139,2.18219,4.04368,N/A
50,3.66333,2.18143,4.03380,0.8833
55,3.65624,2.18020,4.02525,N/A
60,3.64971,2.17871,4.01745,0.8807
65,3.64078,2.17944,4.00611,N/A
70,3.63439,2.17797,3.99850,0.8775
75,3.62953,2.17786,3.99245,N/A
80,3.62258,2.17710,3.98395,0.8753
85,3.61440,2.17664,3.97384,N/A
90,3.61182,2.17570,3.97085,0.8664
95,3.60553,2.17521,3.96311,N/A
100,3.59866,2.17398,3.95483,0.8604
